,Title_of_Movie,Release_Year,Runtime_(min),IMDB_Rating,Metascore,Votes,Box_Office_(Million $)
0,The Shawshank Redemption,1994,142,9.3,81        ,2657521,28.34
1,Hababam Sinifi,1975,87,9.2,Not Metascore available,40824,Not Box Office available
2,The Godfather,1972,175,9.2,100        ,1841839,134.97
3,Kantara,2022,148,9.1,Not Metascore available,60865,Not Box Office available
4,Aynabaji,2016,147,9.0,Not Metascore available,27087,Not Box Office available
5,Demon Slayer - Kimetsu no Yaiba,2021,87,9.0,Not Metascore available,13313,Not Box Office available
6,The Dark Knight,2008,152,9.0,84        ,2630272,534.86
7,The Lord of the Rings: The Return of the King,2003,201,9.0,94        ,1832328,377.85
8,Schindler's List,1993,195,9.0,94        ,1346124,96.90
9,The Godfather Part II,1974,202,9.0,90        ,1261864,57.30
10,De 12 gezworenen,1957,96,9.0,96        ,784622,4.36
11,777 Charlie,2022,164,8.9,Not Metascore available,29193,Not Box Office available
12,Jai Bhim,2021,164,8.9,Not Metascore available,200452,Not Box Office available
13,Tosun Pasa,1976,90,8.9,Not Metascore available,23440,Not Box Office available
14,Süt Kardesler,1976,80,8.9,Not Metascore available,20094,Not Box Office available
15,Hababam Sinifi Sinifta Kaldi,1976,91,8.9,Not Metascore available,23512,Not Box Office available
16,Pulp Fiction,1994,154,8.9,94        ,2034039,107.93
17,Maratonci trce pocasni krug,1982,92,8.9,Not Metascore available,15967,Not Box Office available
18,Rocketry: The Nambi Effect,2022,157,8.8,Not Metascore available,48736,Not Box Office available
19,Toma,2021,140,8.8,Not Metascore available,11036,Not Box Office available
20,Kill Bill: The Whole Bloody Affair,2011,247,8.8,Not Metascore available,11673,Not Box Office available
21,Kimetsu no Yaiba: Natagumo Yama Hen,2020,138,8.8,Not Metascore available,11227,Not Box Office available
22,Inception,2010,148,8.8,74        ,2330761,292.58
23,#Home,2021,158,8.8,Not Metascore available,13343,Not Box Office available
24,Hababam Sinifi Uyaniyor,1977,94,8.8,Not Metascore available,19832,Not Box Office available
25,Manichitrathazhu,1993,169,8.8,Not Metascore available,11059,Not Box Office available
26,The Lord of the Rings: The Two Towers,2002,179,8.8,87        ,1654547,342.55
27,Fight Club,1999,139,8.8,66        ,2102618,37.03
28,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92        ,1860968,315.54
29,Forrest Gump,1994,142,8.8,82        ,2058944,330.25
30,Balkanski spijun,1984,95,8.8,Not Metascore available,11648,Not Box Office available
31,Ko to tamo peva,1980,86,8.8,Not Metascore available,15586,Not Box Office available
32,"The Good, the Bad and the Ugly",1966,161,8.8,90        ,757752,6.10
33,Pariyerum Perumal,2018,154,8.7,Not Metascore available,16245,Not Box Office available
34,Peranbu,2018,147,8.7,Not Metascore available,15134,Not Box Office available
35,Soorarai Pottru,2020,153,8.7,Not Metascore available,116114,Not Box Office available
36,Neseli Günler,1978,95,8.7,Not Metascore available,11274,Not Box Office available
37,Anbe Sivam,2003,160,8.7,Not Metascore available,23364,Not Box Office available
38,Saban Oglu Saban,1977,90,8.7,Not Metascore available,17788,Not Box Office available
39,Kibar Feyzo,1978,83,8.7,Not Metascore available,16412,Not Box Office available
40,Zügürt Aga,1985,101,8.7,Not Metascore available,15407,Not Box Office available
